event,brand,feature,launch_date,product_type,sentiment_IV1,pre_expect_score_IV2,competitor_freq_IV3,inbrand_freq_IV3b,post_sentiment_DV,pre_launch_volume,post_review_count,source_mix
lg_g3,LG,performance,18/07/2014,1,0.1693,-0.0134,0.21,0.986,0.7131,500,200,1
lg_g3,LG,display,18/07/2014,1,0.1693,-0.0121,0.21,0.986,0.8086,500,200,1
moto_g_fast,Motorola,battery,18/06/2020,0,0.1353,-0.016,0.292,0.934,0.5883,500,200,1
moto_g_fast,Motorola,price,18/06/2020,0,0.1353,0.0147,0.292,0.934,0.5486,500,200,1
moto_g_fast,Motorola,performance,18/06/2020,0,0.1353,0.0128,0.292,0.934,0.542,500,200,1
moto_g_fast,Motorola,display,18/06/2020,0,0.1353,0.026,0.292,0.934,0.4684,500,200,1
pixel_3a,Google,battery,07/05/2019,0,-0.0372,-0.034,0.222,0.962,0.5182,500,200,1
pixel_3a,Google,price,07/05/2019,0,-0.0372,-0.0334,0.222,0.962,0.6376,500,200,1
pixel_3a,Google,performance,07/05/2019,0,-0.0372,-0.0174,0.222,0.962,0.7263,500,200,1
pixel_3a,Google,display,07/05/2019,0,-0.0372,-0.0167,0.222,0.962,0.4475,500,200,1
pixel_4a,Google,battery,20/08/2020,0,0.0062,-0.0173,0.182,0.974,0.4614,500,200,1
pixel_4a,Google,price,20/08/2020,0,0.0062,-0.0407,0.182,0.974,0.7171,500,200,1
pixel_4a,Google,performance,20/08/2020,0,0.0062,0.0094,0.182,0.974,0.5851,500,200,1
pixel_4a,Google,display,20/08/2020,0,0.0062,-0.004,0.182,0.974,0.2305,500,200,1
galaxy_tab_s2,Samsung,battery,21/08/2015,0,0.0604,-0.006,0.318,0.866,0.0217,500,200,1
galaxy_tab_s2,Samsung,price,21/08/2015,0,0.0604,0.0207,0.318,0.866,0.5537,500,200,1
galaxy_tab_s2,Samsung,performance,21/08/2015,0,0.0604,0.0067,0.318,0.866,0.4168,500,200,1
galaxy_tab_s2,Samsung,display,21/08/2015,0,0.0604,0.0101,0.318,0.866,0.38,500,200,1
moto_g_3rd_gen,Motorola,battery,28/07/2015,0,0.0802,-0.0054,0.24,0.962,0.4477,500,200,1
moto_g_3rd_gen,Motorola,price,28/07/2015,0,0.0802,-0.0086,0.24,0.962,0.7658,500,200,1
moto_g_3rd_gen,Motorola,performance,28/07/2015,0,0.0802,-0.014,0.24,0.962,0.7045,500,200,1
moto_g_3rd_gen,Motorola,display,28/07/2015,0,0.0802,-0.016,0.24,0.962,0.4845,500,200,1
ipad_air_2,Apple,battery,22/10/2014,1,0.143,-0.0053,0.058,0.958,0.1383,500,198,1
ipad_air_2,Apple,price,22/10/2014,1,0.143,-0.02,0.058,0.958,0.0231,500,198,1
ipad_air_2,Apple,performance,22/10/2014,1,0.143,0.024,0.058,0.958,0.6222,500,198,1
ipad_air_2,Apple,display,22/10/2014,1,0.143,0.0047,0.058,0.958,0.4447,500,198,1
galaxy_s21_ultra,Samsung,battery,29/01/2021,1,0.0533,-0.0381,0.104,0.964,0.2425,500,190,1
galaxy_s21_ultra,Samsung,price,29/01/2021,1,0.0533,-0.0274,0.104,0.964,-0.3063,500,190,1
galaxy_s21_ultra,Samsung,performance,29/01/2021,1,0.0533,-0.0286,0.104,0.964,0.5657,500,190,1
galaxy_s21_ultra,Samsung,display,29/01/2021,1,0.0533,-0.004,0.104,0.964,0.5558,500,190,1
