event,brand,feature,launch_date,product_type,sentiment_IV1,pre_expect_score_IV2,competitor_freq_IV3,inbrand_freq_IV3b,post_sentiment_DV,pre_launch_volume,post_review_count,source_mix
galaxy_tab_s2,Samsung,display,21/08/2015,0,0.0604,0.0101,0.318,0.866,0.38,500,200,1.0
moto_g_3rd_gen,Motorola,battery,28/07/2015,0,0.0802,-0.0054,0.24,0.962,0.4477,500,200,1.0
moto_g_3rd_gen,Motorola,price,28/07/2015,0,0.0802,-0.0086,0.24,0.962,0.7658,500,200,1.0
moto_g_3rd_gen,Motorola,performance,28/07/2015,0,0.0802,-0.014,0.24,0.962,0.7045,500,200,1.0
moto_g_3rd_gen,Motorola,display,28/07/2015,0,0.0802,-0.016,0.24,0.962,0.4845,500,200,1.0
ipad_air_2,Apple,battery,22/10/2014,1,0.143,-0.0053,0.058,0.958,0.1383,500,198,1.0
ipad_air_2,Apple,price,22/10/2014,1,0.143,-0.02,0.058,0.958,0.0231,500,198,1.0
ipad_air_2,Apple,performance,22/10/2014,1,0.143,0.024,0.058,0.958,0.6222,500,198,1.0
ipad_air_2,Apple,display,22/10/2014,1,0.143,0.0047,0.058,0.958,0.4447,500,198,1.0
galaxy_s21_ultra,Samsung,battery,29/01/2021,1,0.0533,-0.0381,0.104,0.964,0.2425,500,190,1.0
galaxy_s21_ultra,Samsung,price,29/01/2021,1,0.0533,-0.0274,0.104,0.964,-0.3063,500,190,1.0
galaxy_s21_ultra,Samsung,performance,29/01/2021,1,0.0533,-0.0286,0.104,0.964,0.5657,500,190,1.0
galaxy_s21_ultra,Samsung,display,29/01/2021,1,0.0533,-0.004,0.104,0.964,0.5558,500,190,1.0
